,delta,experiment,filename,filter,language,make-param,mean,min,size,tmean,var
0,"[236985077, 238286481, 238316954, 236030521, 238063911, 239590720, 240869184, 246529337, 253690607, 248790514, 252602042, 241807292, 240568312, 240512311, 236885011, 237826577, 237878213, 237685333, 238718595, 237284518, 236343817, 236239588, 234973751, 237214081, 237916215, 235451141, 237518701, 236513417, 235834197, 237395640, 236440929, 237178603, 236042766, 236263815, 241068340, 239555365, 239653722, 239678648, 239560512, 238854402, 237869672, 237288204, 237575299, 235916546, 239181004, 239920700, 239138342, 238911832, 238009915, 240771451, 237368643, 252934763, 241196500, 236295128, 238622816, 239097232, 239546619, 240678755, 237469621, 237939576, 238630568, 237059197, 238137972, 237799441, 237049380, 236195525, 237006102, 236421961, 236651971, 237556229, 241096363, 238848903, 238835657, 237443184, 236731460, 236989728, 237797425, 238364485, 237149521, 236248828, 235408367, 235658696, 237203841, 237661502, 238189906, 237979567, 237190412, 237146323, 236772738, 237388284, 237098018, 238010775, 244368907, 244246207, 245944116, 249947712, 251260976, 245833287, 249050185, 242790166]",blur-big-images,2972x2972 (1939751544),blur,c,o3fastshuffles,239255156.63,234973751,2972,238047096.12,15944181691805.738
1,"[234661546, 234657306, 234486237, 234639854, 234247822, 233575474, 232751702, 233562083, 234987082, 234841241, 232138421, 233234433, 234032548, 233904775, 233888028, 233985473, 232129495, 233982931, 233422733, 237507740, 234347471, 238521330, 237758309, 237521275, 237110860, 235838701, 233492183, 233090455, 233783764, 232634582, 233608980, 234125520, 234420473, 232106164, 232949965, 232765801, 232088028, 238320196, 234306557, 236704289, 241169076, 236887977, 234474737, 234833655, 234375057, 234492782, 234108942, 233679277, 233149264, 234556225, 233994529, 234617938, 234852005, 234835220, 234617958, 234756945, 235005817, 235308834, 235561443, 236551030, 235569140, 236114992, 237805624, 235698878, 236502939, 235264734, 235528401, 236615634, 234750792, 233605856, 231369846, 232560335, 236135261, 235874037, 235367165, 235437008, 232813467, 232279262, 233589384, 232965142, 233402086, 238379612, 235605352, 235493878, 238504976, 239287382, 238492069, 239185468, 236736277, 235501834, 233113611, 230845313, 234098001, 233108943, 233266857, 233340891, 232873121, 232364202, 234023246, 231916168]",blur-big-images,2956x2956 (1544950461),blur,c,o3fastshuffles,234733477.22,230845313,2956,234465217.68,3702291674112.0
2,"[245555830, 234171740, 232035833, 235163358, 233100442, 234865164, 233004214, 233658166, 232184054, 232681050, 231975280, 232382145, 233122499, 233976459, 233352971, 232955855, 233510097, 234199245, 233949978, 233698331, 232413874, 233258336, 235798575, 238209488, 239285832, 236471175, 233756296, 233388230, 236256480, 234470579, 233622681, 233222358, 234943589, 236125103, 236061113, 233438212, 233475358, 231849189, 234447417, 232744555, 233370726, 233926513, 233885718, 233451421, 233619517, 233076022, 233509435, 233666084, 233088833, 232670962, 232800935, 234174852, 233565052, 236232226, 236461148, 235431608, 234321646, 232952247, 233782027, 233561680, 233313213, 232458501, 232897095, 233717923, 233577358, 233054403, 233619661, 233861478, 235636679, 241004275, 237380394, 233513195, 232663064, 233378217, 231771982, 233458978, 233150973, 234000530, 234450261, 235121986, 233873012, 232744821, 232287054, 232237799, 232392300, 233039553, 232650350, 232067480, 232966877, 233628652, 234590442, 235497197, 233886622, 233620983, 232242353, 232512085, 232907793, 232328756, 233606084, 231629049]",blur-big-images,2968x2968 (226048380),blur,c,o3fastshuffles,233930692.31,231629049,2968,233511201.24,3752917205488.485
3,"[264738067, 232350109, 232261610, 232403720, 233260462, 232757056, 232278003, 231977457, 232762121, 234498626, 238855815, 237583232, 235147020, 235500385, 233261301, 231057495, 233185001, 232851457, 233270714, 233578219, 232225701, 233538396, 233540643, 234518055, 233023357, 232057408, 232402479, 233158842, 232908527, 231351271, 232885455, 232674424, 232770913, 232300140, 232915884, 233428807, 234506035, 232586389, 232406125, 232045168, 231846201, 232593881, 232137872, 231548893, 232439103, 233459015, 231517463, 234487160, 233821239, 233251946, 233274324, 232298558, 231817745, 233175409, 233313842, 234777211, 239308481, 239513952, 237795679, 232233934, 232232349, 232495046, 232744895, 231873111, 233624555, 232624315, 233492785, 233144777, 232612321, 232697228, 232827229, 232275134, 232558731, 232962643, 232428502, 232986318, 232517411, 233609795, 231833993, 231994090, 232137418, 232101159, 231727097, 232431475, 233479423, 232724490, 232683117, 233650461, 233622927, 232874460, 233170970, 231742278, 233116662, 233533201, 233028231, 232197352, 232118310, 232299568, 233604094, 235850750]",blur-big-images,2964x2964 (1760711477),blur,c,o3fastshuffles,233470624.68,231057495,2964,232835543.46,12306835453248.646
4,"[235736318, 232488776, 233498996, 233526984, 233071345, 233828613, 234575049, 235123531, 233838148, 234472519, 233487575, 233601755, 232417075, 234047277, 233019955, 234730622, 233425014, 234159151, 233053268, 234656082, 234056273, 235062974, 232773797, 232983065, 234415111, 236238698, 233800180, 233195965, 233480734, 233193911, 236205195, 234032658, 234140826, 233751569, 232397065, 234248344, 233787195, 234175604, 233536741, 234656168, 233626039, 235950344, 241696034, 241894597, 241680109, 236984276, 234261211, 233232509, 234272852, 234309914, 234578208, 235111115, 234395878, 234901523, 234772487, 233639454, 232970670, 233880128, 234140513, 234265976, 234209831, 233710516, 234662458, 234102061, 235814568, 234505479, 234561482, 233738042, 234425541, 233113866, 233060643, 234360320, 236545927, 233160678, 235296918, 234340507, 234362608, 235229657, 236484626, 234594396, 235226343, 233663388, 234100086, 233897097, 234225109, 233646165, 234580518, 238739163, 242405139, 242048462, 241183954, 234817200, 234875592, 234009176, 234549282, 233370070, 233116176, 233993220, 234035832, 234111096]",blur-big-images,2960x2960 (406921733),blur,c,o3fastshuffles,234683271.55,232397065,2960,234189994.66,4278225670495.677
5,"[157618616, 143663166, 142931993, 141341290, 142799814, 142165782, 143405324, 141852515, 143522286, 141581630, 142615338, 143534531, 142910757, 144761911, 141822228, 144030856, 141975987, 143687625, 141375839, 142800583, 142604859, 142774356, 142280154, 142436640, 141978574, 142225878, 143453313, 142960989, 142804077, 142764798, 142966982, 142605486, 142937288, 143094595, 142278576, 142081005, 143344211, 141787413, 142680636, 142785225, 141365052, 144170183, 142381023, 143545503, 141768515, 143750959, 141917488, 141877029, 143640779, 149523121, 149724199, 148105495, 151323905, 149949366, 151601308, 147321481, 141930131, 143017498, 142878045, 142557574, 143972820, 142453098, 142344570, 142445214, 143246715, 143083994, 143351988, 145509620, 143934456, 142765210, 143002033, 142533191, 141988029, 142033542, 142967189, 143522971, 142648754, 141784511, 142788857, 143111431, 141980473, 144420259, 142308092, 143113359, 143012755, 144468453, 144291643, 146185842, 145296830, 144783928, 144832567, 144738344, 145813003, 142590400, 142416728, 142540225, 140971029, 142906578, 141488874, 143913078]",blur-big-images,2972x2972 (1939751544),blur,asm1,o3fastshuffles,143571524.33,140971029,2972,142939011.08,6080891262171.798
6,"[151688341, 140226852, 140896736, 140572866, 140284685, 140622413, 139897190, 139872556, 140542782, 139770788, 142046780, 141198313, 141407443, 139938800, 141438842, 144376496, 141691247, 140850270, 145372372, 144061216, 143033298, 142092023, 140368294, 140019653, 140159860, 139773207, 140718292, 141437918, 141138122, 141375464, 141901612, 139863065, 140353369, 140055361, 141261907, 141893519, 140983480, 141543189, 141909998, 141433299, 144184456, 140589889, 140815787, 141666114, 141730187, 141640914, 141011547, 141932133, 140296036, 139575111, 140799849, 140159907, 139997960, 139742313, 140232099, 140240249, 140144808, 139514123, 140026536, 141651787, 139206940, 140792225, 140195281, 139912382, 142195415, 139408498, 140624679, 139859110, 140446492, 140711122, 140240562, 140975896, 140534130, 140847745, 140461572, 144024136, 144387584, 142809799, 141572805, 140475446, 142205148, 139912219, 140183638, 140435452, 141201893, 144167270, 141452928, 141327034, 144094399, 143733524, 142377710, 144273052, 144539157, 144289952, 141221987, 139906672, 141343436, 140207100, 140346647, 141150238]",blur-big-images,2956x2956 (1544950461),blur,asm1,o3fastshuffles,141320749.98,139206940,2956,140909046.86,3004214149112.242
7,"[143440843, 139257207, 141352594, 140630615, 138969034, 144587496, 141883143, 144936338, 141603399, 142500705, 141434962, 141040416, 141511796, 140414143, 140689104, 140116826, 143927410, 141570320, 141020768, 141707563, 140898020, 141412494, 142284739, 143538678, 142832128, 142210620, 141139321, 139871500, 140978583, 140397721, 139320797, 141965965, 141381120, 143663376, 141671488, 140569352, 139080526, 141632491, 140816006, 139402470, 141089664, 139969612, 141106423, 140070880, 140787705, 139861913, 139809781, 140154787, 140429543, 139704086, 141105268, 140786301, 140149245, 139853738, 141159039, 140583167, 140370685, 143108151, 149233472, 145799122, 148133657, 150162221, 147561682, 144298165, 147008312, 143305955, 141120977, 139479351, 141457685, 140956787, 140189529, 141204399, 141814958, 142288428, 141780072, 141414139, 139962858, 140726498, 141502052, 142061079, 144102586, 142550879, 143093712, 142578463, 141709766, 141066970, 142170551, 140207539, 140866743, 140208557, 140952443, 142967786, 140728289, 142151731, 140557469, 142064596, 142018970, 142026633, 140901470, 141598052]",blur-big-images,2968x2968 (226048380),blur,asm1,o3fastshuffles,141737466.68,138969034,2968,141316438.94,4145755354911.0303
8,"[142382896, 141847299, 141613366, 139467199, 140733643, 140205029, 140674164, 140512039, 142415592, 141415848, 140900188, 141182926, 140578310, 141887600, 140447244, 140947416, 141561928, 140603933, 141340328, 140852668, 139826507, 140872325, 142197164, 141368747, 140917799, 140355135, 140356923, 143318465, 151448287, 150870433, 147549154, 150890719, 149690191, 148305358, 146619130, 143175276, 139895552, 140902564, 140427994, 140922317, 139617234, 140297689, 141642066, 140945685, 142083804, 140017724, 139972675, 141623788, 141349918, 141822151, 141511292, 140428198, 140891071, 141785081, 141332200, 139709356, 140696491, 140598376, 139638317, 141258815, 140415670, 142648760, 140676401, 143895784, 140182244, 141091132, 141675465, 139862345, 141488422, 139274765, 140856221, 139476063, 140647598, 141187011, 140258649, 140429413, 139908879, 141491921, 140387322, 142308448, 140795845, 140457969, 141462252, 141288418, 140133340, 141426295, 139973127, 141317747, 140773288, 142092826, 141988313, 141255503, 140942398, 141329857, 141687339, 140095831, 140629100, 142484198, 143267731, 147917362]",blur-big-images,2964x2964 (1760711477),blur,asm1,o3fastshuffles,141681828.39,139274765,2964,141062141.0,5913763500443.151
9,"[143247547, 143758252, 142375336, 142642324, 143989899, 143612506, 142079737, 139354881, 143204434, 140787643, 138338246, 140351020, 140978116, 141762518, 141490855, 142321964, 142276292, 140308685, 139542891, 139162070, 139859966, 140249159, 140537163, 140449935, 137902627, 139432088, 140275147, 141804630, 139972202, 140916513, 141079900, 140861323, 142736829, 142161605, 141931342, 143430427, 141145687, 141669661, 141515563, 143414798, 143219208, 143874372, 142866797, 143006758, 141691813, 141599395, 140356470, 139467416, 139392644, 138683597, 139250135, 141859961, 140753570, 141869594, 140129231, 141529192, 141946583, 140919318, 140139701, 138564680, 139365171, 138187910, 139265194, 139382161, 141718852, 140035336, 139832705, 141854288, 143478407, 140956169, 141887784, 143569957, 140027192, 139844999, 141982142, 139677058, 139891916, 138591142, 138830410, 140789562, 139402039, 138824564, 139321405, 138578923, 139250797, 138379859, 138836647, 138516273, 138612212, 138616712, 138403604, 139440806, 138629543, 139412445, 139319296, 138123862, 139402819, 139018133, 138123110, 138613536]",blur-big-images,2960x2960 (406921733),blur,asm1,o3fastshuffles,140600471.56,137902627,2960,140450783.6,2731653566554.505
