,alpha,delta,experiment,filename,filter,h,l,language,make-param,mean,min,s,size,tmean,var
0,,"[9623418, 9920522, 9556391, 10926797, 9734610, 17225716, 9410750, 20313422, 26336527, 26207117, 9412851, 13664284, 26500157, 17739071, 9397875, 27958412, 9383805, 27153585, 21225970, 25982016, 9389547, 26482559, 12805905, 19181122, 9423730, 27748952, 30723089, 14924761, 31674957, 15909198, 28293105, 9375944, 29111613, 28967175, 14991745, 25181668, 14605381, 29669866, 25122840, 9928022, 9472423, 9381558, 30746267, 9652287, 9384348, 9516463, 9376320, 9389586, 10517064, 9865184, 9590077, 9402380, 9393314, 9369100, 9434530, 9568932, 9373450, 9376793, 9395267, 9370080, 10336992, 9916889, 9437363, 9396125, 9456888, 9572750, 9382489, 9375700, 9385026, 9376545, 9816927, 10520388, 10251460, 9390896, 10193088, 9520883, 9510767, 9397212, 9371774, 9433053, 9563989, 9412475, 9380047, 9373801, 10328194, 9402527, 9972166, 9410085, 9398494, 9438768, 9537926, 9387697, 9389006, 9380716, 9372852, 9385169, 10297244, 9390344, 22265960, 9560507]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),hsl,99.0,0.0,c,o0shift,13594510.8,9369100,0.0,200,10044527.56,49799636858437.21
1,,"[11359224, 11694015, 11045758, 11148714, 12939544, 11879096, 12413032, 11716711, 11288284, 11217988, 12306666, 11156196, 11369899, 11081709, 12706551, 12943912, 11037763, 11375910, 11477519, 11023956, 11125718, 13070154, 11546619, 11052483, 11465296, 11359838, 11064110, 12316181, 11126775, 11034186, 11396392, 12441086, 11238602, 11075058, 17149241, 11607772, 11239066, 11272767, 12251798, 11163367, 11065381, 13081637, 11533132, 11786418, 11023431, 11282975, 11551018, 11057483, 11165641, 12216671, 11023086, 12588927, 11857050, 11129260, 11414864, 11508580, 11066583, 11275551, 11598461, 11181737, 11013822, 13793792, 11632568, 11237204, 11486375, 17448393, 27316975, 22599465, 19484544, 24217219, 23402878, 22701118, 24665532, 19934738, 22616865, 22605595, 22686819, 22588307, 22669560, 22628822, 22644214, 22590392, 22600799, 22612970, 22690830, 22608922, 10979046, 23897298, 37824425, 16840596, 11024472, 11003708, 46734126, 11049302, 11044616, 80516708, 11114403, 11042910, 11029689, 11049892]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),hsl,99.0,0.0,asm1,o0shift,15372167.51,10979046,0.0,200,11973477.94,81540566637293.9
2,,"[10017522, 10014170, 37003508, 24190875, 21794263, 20183609, 17591623, 23093875, 23276401, 10054025, 40585476, 11966478, 10078788, 10082018, 10055164, 44791257, 10005955, 10012506, 44812711, 10188631, 10201867, 44907135, 28735688, 10078389, 10032696, 33213416, 10009820, 10006728, 10148117, 45897985, 11686249, 38087669, 10009765, 9995781, 10011982, 38282445, 46593448, 10054221, 34013019, 16009935, 18767582, 47848541, 10187444, 9997075, 10008782, 35369569, 10052331, 10027571, 10215143, 10286254, 10201562, 10040063, 14049108, 11994226, 10420124, 10021930, 10236674, 11972192, 17184835, 10050261, 52774255, 10296862, 10000659, 22211100, 41670237, 10181088, 11035062, 11872465, 10888288, 10104177, 13134674, 10017531, 10295290, 10010135, 10173948, 11015729, 11855396, 10405319, 10266702, 10024561, 10010085, 10300504, 10054981, 10193100, 10008053, 10203320, 10007873, 11255245, 11873568, 10564071, 10033777, 10374545, 10006770, 10010391, 10081514, 10193216, 10174751, 12855746, 10225778, 11581263]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),hsl,99.0,0.0,asm2,o0shift,16349485.06,9995781,0.0,200,10834516.06,132295218447336.4
3,,"[8769108, 8757310, 9091311, 8971950, 8732651, 8757035, 8749996, 8780336, 8732755, 8920251, 9832032, 9337246, 8879446, 8906519, 8981544, 8749916, 8745701, 8766987, 18366286, 8814214, 8761364, 28506350, 20783925, 16021776, 40406790, 8746361, 16092139, 9346468, 8765043, 47787464, 8738710, 8949684, 8768968, 33392819, 13995034, 8764121, 34781550, 8760653, 36078506, 17917320, 8769176, 50672170, 8904752, 13348645, 8771966, 22751486, 56458731, 20350304, 8776227, 10592558, 8763925, 9056257, 8760003, 66728777, 9052295, 8998175, 8893528, 9506007, 12062299, 10399092, 9515709, 9949415, 10454463, 9537529, 11690935, 16778649, 10287151, 10053619, 10226618, 10320883, 9088261, 11885333, 11538584, 10497972, 13022175, 16478148, 12330571, 11108007, 11473279, 9551913, 10206666, 10208989, 10865653, 11789850, 14701907, 10764193, 11692742, 11398157, 10976182, 10137451, 10715030, 10267920, 10835438, 14318204, 14583416, 13903998, 11067963, 11191655, 9162391, 10622419]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),blur,,,c,o0shift,13898234.5,8732651,,200,10246427.62,110404751553702.47
4,,"[3837552, 643650, 633064, 947854, 730883, 1770746, 1034702, 636202, 2347126, 637335, 2742249, 969943, 2422407, 991211, 652857, 1746881, 1754488, 637063, 636602, 9231106, 669668, 636953, 902129, 635430, 1094778, 659674, 648846, 708815, 643262, 677275, 657836, 712420, 12241187, 636208, 637014, 636764, 635579, 637042, 636290, 636712, 635909, 636721, 636752, 635341, 635906, 635445, 635988, 637157, 12255354, 646098, 689760, 683396, 636260, 661090, 706049, 690050, 657112, 700945, 676967, 709044, 674473, 655614, 686228, 646013, 675862, 760728, 704282, 2387634, 708760, 637158, 689379, 634352, 700127, 686140, 636358, 699532, 685914, 635341, 705228, 655428, 635698, 637478, 636876, 12251831, 686204, 635085, 700643, 673762, 703275, 636779, 637323, 713751, 635820, 705463, 658740, 683063, 635747, 697966, 12294807, 696257]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),blur,,,asm1,o0shift,1369702.66,633064,,200,670285.74,5950979780423.4795
5,,"[569795, 565295, 567411, 567209, 567084, 566934, 570488, 566919, 566834, 625393, 570375, 570567, 567094, 567054, 570406, 585861, 567002, 567264, 601881, 566742, 567087, 566797, 566999, 566892, 566919, 566691, 566883, 567151, 570577, 566966, 570473, 566959, 570317, 578046, 566828, 570641, 566693, 566962, 566965, 566889, 566944, 566724, 569792, 567228, 570427, 566947, 566840, 570525, 566660, 566840, 567292, 46910061, 568455, 572002, 568714, 567722, 566917, 567774, 566016, 577563, 594635, 593048, 547047, 547395, 549037, 587832, 565210, 567551, 583230, 575116, 570100, 577069, 580079, 572265, 569288, 567209, 565546, 567674, 566278, 565671, 568342, 565821, 567814, 565387, 567264, 629544, 600550, 565405, 567551, 567976, 565854, 566083, 567576, 566947, 565378, 607290, 567631, 565595, 565442, 565454]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),blur,,,asm2,o0shift,1034229.7,547047,,200,567655.16,21473380299166.918
6,0.14674845465465455,"[3806424, 3009465, 3058254, 3067919, 3003844, 3113611, 3123721, 3071521, 3066234, 3080533, 3845626, 3039115, 3362629, 3199885, 3003777, 3065880, 3028833, 3002623, 3106504, 3070099, 3216763, 3002773, 3069183, 3025863, 3001640, 3071821, 3001427, 7355777, 4868087, 3426668, 3010527, 3048568, 3041254, 3073029, 3101132, 3068801, 3037201, 3217596, 3000850, 3153714, 3151348, 3313842, 3087422, 3167902, 3119469, 3104676, 3034328, 3002294, 3067242, 3767036, 3287135, 3067852, 3101321, 3031068, 3005969, 3068563, 3046923, 3027557, 3319423, 3073060, 3027423, 7391505, 3222584, 3396654, 3024004, 3002361, 3244428, 3078033, 3047973, 16677610, 3068365, 3001359, 12566894, 3061307, 3034007, 3055010, 3066411, 3004019, 3002803, 3002049, 3054830, 3069485, 3758687, 3039267, 3069406, 3001442, 3066445, 16614167, 3016043, 18236659, 3069327, 3003738, 10232562, 2998905, 5014167, 3002129, 18297315, 3067693, 3001833, 5322452]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),merge,,,c,o0shift,3996749.52,2998905,,200,3075062.04,9475807394874.07
7,0.14674845465465455,"[306881, 301310, 301511, 301053, 300843, 300800, 301035, 300721, 300800, 300709, 300617, 300654, 300437, 301258, 300706, 300819, 300989, 300818, 300513, 301047, 300532, 316704, 300535, 300831, 351861, 301014, 300629, 300925, 300931, 300761, 300944, 301127, 300690, 301188, 300751, 300763, 300700, 300708, 24221585, 300840, 301173, 300828, 300907, 300959, 300648, 343873, 300757, 300678, 301124, 300492, 301365, 300663, 300840, 301414, 300678, 300770, 300773, 300959, 300785, 300797, 300596, 300657, 300562, 300855, 300889, 300925, 301081, 303202, 301002, 301301, 301948, 301188, 304714, 300721, 301282, 300748, 300498, 301078, 300965, 300681, 302757, 301768, 302265, 300886, 300397, 301533, 300889, 301225, 24230480, 301307, 301176, 300877, 301826, 301942, 325771, 300766, 300751, 300754, 300794, 300941]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),merge,,,asm1,o0shift,780920.21,300397,,200,300910.32,11331185976131.582
8,0.14674845465465455,"[108167, 104739, 104867, 102816, 102718, 102810, 102758, 102672, 103066, 103768, 103176, 102721, 102752, 102794, 102574, 102782, 102535, 102770, 102633, 13381012, 102950, 102773, 252483, 102742, 102627, 102590, 102623, 102654, 102675, 102562, 102739, 120701, 102752, 102611, 102605, 102587, 102660, 102669, 102632, 102645, 102690, 102556, 102718, 102734, 102767, 102718, 102660, 102699, 102550, 102724, 102538, 102629, 102614, 102587, 102733, 102550, 102687, 102758, 102682, 102742, 102645, 102694, 102733, 102535, 102672, 102648, 102733, 102623, 102700, 102684, 102639, 102456, 102608, 102971, 103383, 102562, 102697, 118167, 102617, 102675, 102587, 102691, 122774, 102749, 102538, 102586, 102678, 102633, 102532, 102761, 102657, 102633, 102611, 102715, 102718, 102623, 102669, 102593, 102593, 5234470]",random-uniform-pixel-fixed-size,random1 200x200 (184803526),merge,,,asm2,o0shift,288929.99,102456,,200,102684.78,2012160753666.1516
9,,"[16536774, 11173993, 11036344, 10778629, 10823175, 10895886, 11121423, 10923555, 11069529, 10947039, 30587723, 10782319, 10785115, 11723619, 10785045, 10788528, 10721731, 10874670, 10781342, 25839461, 11114268, 10796099, 10787725, 10858406, 10762007, 10848570, 10737702, 10741997, 10870504, 26956205, 11131592, 10929813, 10914211, 10769397, 10758859, 10737225, 10877610, 10892003, 30884100, 10924990, 10803965, 10827122, 10749677, 10757690, 10905807, 10782145, 11006446, 27916975, 10769483, 11210240, 10992111, 11564562, 10854898, 11615153, 11100370, 10888096, 29425454, 10795247, 10954588, 11291776, 11005097, 10747864, 10831390, 10755636, 34964552, 10787783, 10751649, 10766931, 11508495, 10967904, 10757895, 10722982, 10838121, 29844639, 10963465, 11326106, 11082576, 10823612, 10764775, 10753221, 10754082, 10769831, 29869838, 10803758, 10779251, 10784945, 10762938, 10765496, 10764767, 10738208, 10771974, 30813220, 10783595, 10856687, 10739460, 10755114, 13902713, 10883865, 10760523, 28855989]",random-pixel-fixed-size,random2 200x200 (2124251098),hsl,99.0,0.0,c,o0shift,13043619.35,10721731,0.0,200,10865697.38,35378639431233.03
