,alpha,experiment,filename,filter,h,l,language,make-param,mean,min,s,size,tmean,var
0,,hsl-force-first-if,hsl-empty-if-0-0-0 28x28 (719885386),hsl,0,0,c,o0,162930.87,116386,0,28,120648.44,164775100723.023
1,,hsl-force-first-if,hsl-empty-if-0-0-0 216x216 (1424268980),hsl,0,0,c,o0,12667799.82,7075539,0,216,7156699.62,155179420942525
2,,hsl-force-first-if,hsl-empty-if-0-0-0 172x172 (859484421),hsl,0,0,c,o0,5461938.5,4478507,0,172,4518592.2,35412365765739.7
3,,hsl-force-first-if,hsl-empty-if-0-0-0 364x364 (2053999932),hsl,0,0,c,o0,28164207.66,20100861,0,364,22016217.68,161693844694214
4,,hsl-force-first-if,hsl-empty-if-0-0-0 296x296 (2001100545),hsl,0,0,c,o0,20670173.72,13261856,0,296,13552895.64,224296151811027
5,,hsl-force-first-if,hsl-empty-if-0-0-0 112x112 (233665123),hsl,0,0,c,o0,2823499.49,1903887,0,112,1909029.82,25892921997067.4
6,,hsl-force-first-if,hsl-empty-if-0-0-0 48x48 (1350490027),hsl,0,0,c,o0,352737.54,349886,0,48,351511.16,43838328.2105035
7,,hsl-force-first-if,hsl-empty-if-0-0-0 44x44 (1025202362),hsl,0,0,c,o0,294919.94,292836,0,44,294311.2,19302271.5721177
8,,hsl-force-first-if,hsl-empty-if-0-0-0 308x308 (610515434),hsl,0,0,c,o0,19461522.27,14393900,0,308,15384666.4,77926274729049.1
9,,hsl-force-first-if,hsl-empty-if-0-0-0 136x136 (635723058),hsl,0,0,c,o0,4449880.93,2800038,0,136,2819097.62,51534203904096.7
10,,hsl-force-first-if,hsl-empty-if-0-0-0 320x320 (760313750),hsl,0,0,c,o0,18968400.64,15238120,0,320,15598825.9,87190098437411.8
11,,hsl-force-first-if,hsl-empty-if-0-0-0 144x144 (1125898167),hsl,0,0,c,o0,4217579.21,3137761,0,144,3147236.08,32749130432019.8
12,,hsl-force-first-if,hsl-empty-if-0-0-0 96x96 (1726956429),hsl,0,0,c,o0,2448295.25,1399278,0,96,1402927.22,24638543361806.8
13,,hsl-force-first-if,hsl-empty-if-0-0-0 192x192 (1973594324),hsl,0,0,c,o0,6184380.97,5399818,0,192,5593148.64,14267799803871.4
14,,hsl-force-first-if,hsl-empty-if-0-0-0 188x188 (1734575198),hsl,0,0,c,o0,6183603.11,5372238,0,188,5424946.04,6248082276682.08
15,,hsl-force-first-if,hsl-empty-if-0-0-0 100x100 (336465782),hsl,0,0,c,o0,2276738.37,1516291,0,100,1522409.74,8450670602175.14
16,,hsl-force-first-if,hsl-empty-if-0-0-0 348x348 (491705403),hsl,0,0,c,o0,29432998.58,18347204,0,348,22291985.6,278416002964127
17,,hsl-force-first-if,hsl-empty-if-0-0-0 16x16 (1714636915),hsl,0,0,c,o0,39475.22,39122,0,16,39456.82,55222.2339394309
18,,hsl-force-first-if,hsl-empty-if-0-0-0 276x276 (1100661313),hsl,0,0,c,o0,19194473.32,11552104,0,276,13197952.08,172228119351857
19,,hsl-force-first-if,hsl-empty-if-0-0-0 108x108 (278722862),hsl,0,0,c,o0,3492728.85,1768902,0,108,1774152.16,42763675070212
20,,hsl-force-first-if,hsl-empty-if-0-0-0 36x36 (596516649),hsl,0,0,c,o0,215991.09,196992,0,36,198098.58,15125463770.3454
21,,hsl-force-first-if,hsl-empty-if-0-0-0 380x380 (943947739),hsl,0,0,c,o0,23367866.75,21809221,0,380,22155336.18,17757902277671.7
22,,hsl-force-first-if,hsl-empty-if-0-0-0 52x52 (783368690),hsl,0,0,c,o0,529070.94,411009,0,52,412284.06,1351223288751.77
23,,hsl-force-first-if,hsl-empty-if-0-0-0 180x180 (608413784),hsl,0,0,c,o0,6225432.04,4900353,0,180,4917774.68,52129986730027.2
