,alpha,delta,filename,filter,h,l,language,optimization,s,experiment,width,height
0,,575308,random2 200x200 (1309478823).bmp,blur,,,asm2,3,,random2,200,200
1,,590660,random1 200x200 (776532036).bmp,blur,,,asm2,3,,random1,200,200
2,,1462522,fixed 320x320 (760313750).bmp,blur,,,asm2,3,,fixed,320,320
3,,504319,fixed 188x188 (1734575198).bmp,blur,,,asm2,3,,fixed,188,188
4,,592363,random2 200x200 (1076377804).bmp,blur,,,asm2,3,,random2,200,200
5,,575662,random1 200x200 (195740084).bmp,blur,,,asm2,3,,random1,200,200
6,,612654,random2 200x200 (2067038044).bmp,blur,,,asm2,3,,random2,200,200
7,,596884,random1 200x200 (1823089412).bmp,blur,,,asm2,3,,random1,200,200
8,,572714,random1 200x200 (927612902).bmp,blur,,,asm2,3,,random1,200,200
9,,599818,random1 200x200 (168002245).bmp,blur,,,asm2,3,,random1,200,200
10,,570796,random1 200x200 (1125898167).bmp,blur,,,asm2,3,,random1,200,200
11,,114236,fixed 88x88 (521595368).bmp,blur,,,asm2,3,,fixed,88,88
12,,61141,fixed 64x64 (1967513926).bmp,blur,,,asm2,3,,fixed,64,64
13,,571022,random2 200x200 (191536171).bmp,blur,,,asm2,3,,random2,200,200
14,,568873,random2 200x200 (663711792).bmp,blur,,,asm2,3,,random2,200,200
15,,586697,random1 200x200 (711845894).bmp,blur,,,asm2,3,,random1,200,200
16,,569758,random2 200x200 (818034604).bmp,blur,,,asm2,3,,random2,200,200
17,,571926,random1 200x200 (1633108117).bmp,blur,,,asm2,3,,random1,200,200
18,,572063,random2 200x200 (1144991476).bmp,blur,,,asm2,3,,random2,200,200
19,,607922,random1 200x200 (1956297539).bmp,blur,,,asm2,3,,random1,200,200
20,,148394,fixed 92x92 (294702567).bmp,blur,,,asm2,3,,fixed,92,92
21,,95422,fixed 80x80 (1303455736).bmp,blur,,,asm2,3,,fixed,80,80
22,,586456,random1 200x200 (1975960378).bmp,blur,,,asm2,3,,random1,200,200
23,,572011,random2 200x200 (335467078).bmp,blur,,,asm2,3,,random2,200,200
24,,586545,random2 200x200 (813833609).bmp,blur,,,asm2,3,,random2,200,200
25,,219764,fixed 120x120 (468703135).bmp,blur,,,asm2,3,,fixed,120,120
26,,19968445,random1 200x200 (1520223205).bmp,blur,,,asm2,3,,random1,200,200
27,,575796,random1 200x200 (269441500).bmp,blur,,,asm2,3,,random1,200,200
28,,1435772,fixed 316x316 (1374344043).bmp,blur,,,asm2,3,,fixed,316,316
29,,1828136,fixed 352x352 (1918502651).bmp,blur,,,asm2,3,,fixed,352,352
30,,250972,fixed 132x132 (1315634022).bmp,blur,,,asm2,3,,fixed,132,132
31,,582164,random1 200x200 (1889947178).bmp,blur,,,asm2,3,,random1,200,200
32,,575027,random2 200x200 (2081421295).bmp,blur,,,asm2,3,,random2,200,200
33,,584692,random1 200x200 (1631518149).bmp,blur,,,asm2,3,,random1,200,200
34,,149051,fixed 100x100 (336465782).bmp,blur,,,asm2,3,,fixed,100,100
35,,14377980,random2 200x200 (1665194694).bmp,blur,,,asm2,3,,random2,200,200
36,,580253,random1 200x200 (1346811305).bmp,blur,,,asm2,3,,random1,200,200
37,,956304,fixed 256x256 (1827336327).bmp,blur,,,asm2,3,,fixed,256,256
38,,966146,fixed 260x260 (572660336).bmp,blur,,,asm2,3,,fixed,260,260
39,,569438,random1 200x200 (1120048829).bmp,blur,,,asm2,3,,random1,200,200
40,,685328,random1 200x200 (822890675).bmp,blur,,,asm2,3,,random1,200,200
41,,573745,random1 200x200 (532670688).bmp,blur,,,asm2,3,,random1,200,200
42,,5327,fixed 8x8 (846930886).bmp,blur,,,asm2,3,,fixed,8,8
43,,584023,random2 200x200 (1634660306).bmp,blur,,,asm2,3,,random2,200,200
44,,5641968,fixed 392x392 (1749698586).bmp,blur,,,asm2,3,,fixed,392,392
45,,584286,random1 200x200 (1973594324).bmp,blur,,,asm2,3,,random1,200,200
46,,574301,random1 200x200 (1359512183).bmp,blur,,,asm2,3,,random1,200,200
47,,608185,random1 200x200 (570073850).bmp,blur,,,asm2,3,,random1,200,200
48,,332801,fixed 152x152 (2089018456).bmp,blur,,,asm2,3,,fixed,152,152
49,,571382,random2 200x200 (594662880).bmp,blur,,,asm2,3,,random2,200,200
50,,103481,fixed 84x84 (35005211).bmp,blur,,,asm2,3,,fixed,84,84
51,,591502,random2 200x200 (2099086020).bmp,blur,,,asm2,3,,random2,200,200
52,,582735,random1 200x200 (1600028624).bmp,blur,,,asm2,3,,random1,200,200
53,,4792285,random1 200x200 (620145550).bmp,blur,,,asm2,3,,random1,200,200
