,alpha,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
0,,random2 200x200 (1309478823).bmp,blur,,,asm2,571228,0,,571228,2056623.5,random2,200,200,1309478823
1,,random1 200x200 (776532036).bmp,blur,,,asm2,566421,0,,566421,77581780.5,random1,200,200,776532036
2,,fixed 320x320 (760313750).bmp,blur,,,asm2,1474160.2,0,,1474160.2,984628464.700195,fixed,320,320,760313750
3,,fixed 188x188 (1734575198).bmp,blur,,,asm2,511778.4,0,,511778.4,166378175.299988,fixed,188,188,1734575198
4,,random2 200x200 (1076377804).bmp,blur,,,asm2,570383.6,0,,570383.6,3142697.79998779,random2,200,200,1076377804
5,,random1 200x200 (195740084).bmp,blur,,,asm2,574480.6,0,,574480.6,74533168.2999878,random1,200,200,195740084
6,,random2 200x200 (2067038044).bmp,blur,,,asm2,1663387.6,0,,1663387.6,5977521801029.3,random2,200,200,2067038044
7,,random1 200x200 (1823089412).bmp,blur,,,asm2,572960.8,0,,572960.8,6490756.70001221,random1,200,200,1823089412
8,,random1 200x200 (927612902).bmp,blur,,,asm2,577869.4,0,,577869.4,327681048.299988,random1,200,200,927612902
9,,random1 200x200 (168002245).bmp,blur,,,asm2,571925.4,0,,571925.4,9807200.29998779,random1,200,200,168002245
10,,random1 200x200 (1125898167).bmp,blur,,,asm2,577481.2,0,,577481.2,195659241.200012,random1,200,200,1125898167
11,,fixed 88x88 (521595368).bmp,blur,,,asm2,111397.2,0,,111397.2,96754.7000007629,fixed,88,88,521595368
12,,fixed 64x64 (1967513926).bmp,blur,,,asm2,58855.8,0,,58855.8,282619.699999809,fixed,64,64,1967513926
13,,random2 200x200 (191536171).bmp,blur,,,asm2,577749.8,0,,577749.8,233699600.700012,random2,200,200,191536171
14,,random2 200x200 (663711792).bmp,blur,,,asm2,578355,0,,578355,314355961.5,random2,200,200,663711792
15,,random1 200x200 (711845894).bmp,blur,,,asm2,3446994.4,0,,3446994.4,41096047563917.8,random1,200,200,711845894
16,,random2 200x200 (818034604).bmp,blur,,,asm2,583243,0,,583243,286280382,random2,200,200,818034604
17,,random1 200x200 (1633108117).bmp,blur,,,asm2,1559054.6,0,,1559054.6,4877074291405.3,random1,200,200,1633108117
18,,random2 200x200 (1144991476).bmp,blur,,,asm2,581257,0,,581257,529502133.5,random2,200,200,1144991476
19,,random1 200x200 (1956297539).bmp,blur,,,asm2,575073.8,0,,575073.8,32750099.2000122,random1,200,200,1956297539
20,,fixed 92x92 (294702567).bmp,blur,,,asm2,121146.2,0,,121146.2,170654.700000763,fixed,92,92,294702567
21,,fixed 80x80 (1303455736).bmp,blur,,,asm2,92406.2,0,,92406.2,119867.200000763,fixed,80,80,1303455736
22,,random1 200x200 (1975960378).bmp,blur,,,asm2,571441,0,,571441,1563077,random1,200,200,1975960378
23,,random2 200x200 (335467078).bmp,blur,,,asm2,571988,0,,571988,6743816.5,random2,200,200,335467078
24,,random2 200x200 (813833609).bmp,blur,,,asm2,579783,0,,579783,263432059.5,random2,200,200,813833609
25,,fixed 120x120 (468703135).bmp,blur,,,asm2,511183.8,0,,511183.8,459341022198.7,fixed,120,120,468703135
26,,random1 200x200 (1520223205).bmp,blur,,,asm2,5920718.2,0,,5920718.2,74721001142964.7,random1,200,200,1520223205
27,,random1 200x200 (269441500).bmp,blur,,,asm2,567371.8,0,,567371.8,81606286.7000122,random1,200,200,269441500
28,,fixed 316x316 (1374344043).bmp,blur,,,asm2,3168135,0,,3168135,15076112499568.5,fixed,316,316,1374344043
29,,fixed 352x352 (1918502651).bmp,blur,,,asm2,2719582.6,0,,2719582.6,4151346636722.3,fixed,352,352,1918502651
30,,fixed 132x132 (1315634022).bmp,blur,,,asm2,256652.8,0,,256652.8,171329034.699997,fixed,132,132,1315634022
31,,random1 200x200 (1889947178).bmp,blur,,,asm2,571428.4,0,,571428.4,5928950.29998779,random1,200,200,1889947178
32,,random2 200x200 (2081421295).bmp,blur,,,asm2,570200.4,0,,570200.4,3227802.79998779,random2,200,200,2081421295
33,,random1 200x200 (1631518149).bmp,blur,,,asm2,616636.4,0,,616636.4,10252820671.8,random1,200,200,1631518149
34,,fixed 100x100 (336465782).bmp,blur,,,asm2,151182,0,,151182,93851568.5,fixed,100,100,336465782
35,,random2 200x200 (1665194694).bmp,blur,,,asm2,568475,0,,568475,135230469.5,random2,200,200,1665194694
36,,random1 200x200 (1346811305).bmp,blur,,,asm2,593945.8,0,,593945.8,1800081418.70001,random1,200,200,1346811305
37,,fixed 256x256 (1827336327).bmp,blur,,,asm2,935754.8,0,,935754.8,21764320.1999512,fixed,256,256,1827336327
38,,fixed 260x260 (572660336).bmp,blur,,,asm2,962333.6,0,,962333.6,5693671.80004883,fixed,260,260,572660336
39,,random1 200x200 (1120048829).bmp,blur,,,asm2,568735.8,0,,568735.8,91440374.2000122,random1,200,200,1120048829
40,,random1 200x200 (822890675).bmp,blur,,,asm2,571303.2,0,,571303.2,13297382.2000122,random1,200,200,822890675
41,,random1 200x200 (532670688).bmp,blur,,,asm2,566922.6,0,,566922.6,55226358.2999878,random1,200,200,532670688
42,,fixed 8x8 (846930886).bmp,blur,,,asm2,3953.2,0,,3953.2,78963.1999999993,fixed,8,8,846930886
43,,random2 200x200 (1634660306).bmp,blur,,,asm2,572356.6,0,,572356.6,13763863.2999878,random2,200,200,1634660306
44,,fixed 392x392 (1749698586).bmp,blur,,,asm2,2216221,0,,2216221,908137976,fixed,392,392,1749698586
45,,random1 200x200 (1973594324).bmp,blur,,,asm2,1432555.4,0,,1432555.4,3701705597119.8,random1,200,200,1973594324
46,,random1 200x200 (1359512183).bmp,blur,,,asm2,616559.8,0,,616559.8,8814712051.70001,random1,200,200,1359512183
47,,random1 200x200 (570073850).bmp,blur,,,asm2,576482.6,0,,576482.6,24478321.2999878,random1,200,200,570073850
48,,fixed 152x152 (2089018456).bmp,blur,,,asm2,332947,0,,332947,746030,fixed,152,152,2089018456
49,,random2 200x200 (594662880).bmp,blur,,,asm2,569934.2,0,,569934.2,813673.200012207,random2,200,200,594662880
50,,fixed 84x84 (35005211).bmp,blur,,,asm2,103116,0,,103116,118499.5,fixed,84,84,35005211
51,,random2 200x200 (2099086020).bmp,blur,,,asm2,595967,0,,595967,2421746476.5,random2,200,200,2099086020
