,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
0,,"0     657845
1     701458
2    7929928
3     687279
4     634740
dtype: float64",random2 200x200 (1309478823).bmp,blur,,,asm1,2122250.0,0,,2122250.0,10541020858478.5,random2,200,200,1309478823
1,,"0    637154
1    641517
2    677913
3    659558
4    635430
dtype: float64",random1 200x200 (776532036).bmp,blur,,,asm1,650314.4,0,,650314.4,329815650.2999878,random1,200,200,776532036
2,,"0    1626326
1    1633033
2    5342261
3    1619494
4    5323576
dtype: float64",fixed 320x320 (760313750).bmp,blur,,,asm1,3108938.0,0,,3108938.0,4121807608519.5,fixed,320,320,760313750
3,,"0    565335
1    568019
2    574652
3    569364
4    570796
dtype: float64",fixed 188x188 (1734575198).bmp,blur,,,asm1,569633.2,0,,569633.2,11923272.700012207,fixed,188,188,1734575198
4,,"0    633916
1    634508
2    661196
3    673636
4    654142
dtype: float64",random2 200x200 (1076377804).bmp,blur,,,asm1,651479.6,0,,651479.6,297229528.7999878,random2,200,200,1076377804
5,,"0    632945
1    648226
2    631794
3    643132
4    653486
dtype: float64",random1 200x200 (195740084).bmp,blur,,,asm1,641916.6,0,,641916.6,89523344.7999878,random1,200,200,195740084
6,,"0    633586
1    635362
2    637478
3    633626
4    636926
dtype: float64",random2 200x200 (2067038044).bmp,blur,,,asm1,635395.6,0,,635395.6,3271444.799987793,random2,200,200,2067038044
7,,"0      675871
1      639813
2    11503094
3      642620
4      641687
dtype: float64",random1 200x200 (1823089412).bmp,blur,,,asm1,2820617.0,0,,2820617.0,23558163805842.5,random1,200,200,1823089412
8,,"0    680578
1    699636
2    643122
3    698748
4    618961
dtype: float64",random1 200x200 (927612902).bmp,blur,,,asm1,668209.0,0,,668209.0,1282000521.0,random1,200,200,927612902
9,,"0    651134
1    617031
2    883270
3    644661
4    632841
dtype: float64",random1 200x200 (168002245).bmp,blur,,,asm1,685787.4,0,,685787.4,12355595006.300049,random1,200,200,168002245
10,,"0    642918
1    641144
2    638843
3    641923
4    663859
dtype: float64",random1 200x200 (1125898167).bmp,blur,,,asm1,645737.4,0,,645737.4,104880781.2999878,random1,200,200,1125898167
11,,"0    120069
1    120167
2    119761
3    119956
4    120796
dtype: float64",fixed 88x88 (521595368).bmp,blur,,,asm1,120149.8,0,,120149.8,153280.70000076294,fixed,88,88,521595368
12,,"0     63113
1     64005
2    108151
3     64139
4     63370
dtype: float64",fixed 64x64 (1967513926).bmp,blur,,,asm1,72555.6,0,,72555.6,396130589.8000002,fixed,64,64,1967513926
13,,"0    2254912
1     630747
2     636244
3     634737
4     635341
dtype: float64",random2 200x200 (191536171).bmp,blur,,,asm1,958396.2,0,,958396.2,525302299466.69995,random2,200,200,191536171
14,,"0     634114
1     688884
2     634194
3    7948897
4     635338
dtype: float64",random2 200x200 (663711792).bmp,blur,,,asm1,2108285.4,0,,2108285.4,10660786252918.8,random2,200,200,663711792
15,,"0    613804
1    644860
2    631220
3    634639
4    769486
dtype: float64",random1 200x200 (711845894).bmp,blur,,,asm1,658801.8,0,,658801.8,3953691129.200012,random1,200,200,711845894
16,,"0    634285
1    637048
2    639239
3    657268
4    684681
dtype: float64",random2 200x200 (818034604).bmp,blur,,,asm1,650504.2,0,,650504.2,446209786.7000122,random2,200,200,818034604
17,,"0    636660
1    639425
2    648138
3    635411
4    677101
dtype: float64",random1 200x200 (1633108117).bmp,blur,,,asm1,647347.0,0,,647347.0,301341086.5,random1,200,200,1633108117
18,,"0    635503
1    636730
2    645168
3    642906
4    631852
dtype: float64",random2 200x200 (1144991476).bmp,blur,,,asm1,638431.8,0,,638431.8,30040654.200012207,random2,200,200,1144991476
19,,"0    631147
1    636672
2    638327
3    633305
4    611740
dtype: float64",random1 200x200 (1956297539).bmp,blur,,,asm1,630238.2,0,,630238.2,114809262.7000122,random1,200,200,1956297539
20,,"0    130698
1    167058
2    132078
3    131453
4    130967
dtype: float64",fixed 92x92 (294702567).bmp,blur,,,asm1,138450.8,0,,138450.8,256016711.70000076,fixed,92,92,294702567
21,,"0     99592
1     98649
2    101088
3    100001
4     99393
dtype: float64",fixed 80x80 (1303455736).bmp,blur,,,asm1,99744.6,0,,99744.6,804428.2999992371,fixed,80,80,1303455736
22,,"0    6661685
1     641456
2     634777
3     636019
4     649240
dtype: float64",random1 200x200 (1975960378).bmp,blur,,,asm1,1844635.4,0,,1844635.4,7251272157546.3,random1,200,200,1975960378
23,,"0    635866
1    630909
2    811100
3    634435
4    654934
dtype: float64",random2 200x200 (335467078).bmp,blur,,,asm1,673448.8,0,,673448.8,6008707177.699951,random2,200,200,335467078
